genre,frequency
unknown,8403
other,3563
pop,3077
multi,2531
house/electronic,2261
alternative,1985
rock,1870
rap/hip hop,1704
world,1319
urban/soul,1026
country/traditional,760
jazz/lofi,539
theater,530
classical,266
