id,name,followers,popularity,genres
6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,12190403,80,g funk;gangster rap;hip hop;rap;west coast rap
3RPYHNSwe3w0mtfJwKIN9P,Bubba Sparxxx,411929,53,atl hip hop;country rap;dirty south rap;southern hip hop
6zDBeei6hHRiZdAJ6zoTCo,Tweet,609724,45,contemporary r&b;hip pop;neo soul;r&b;urban contemporary
2kRfqPViCqYdSGhYSM9R0Q,Madison Beer,6870586,74,pop
1mGW7MpR3kesskLHY3Q5WX,Jordan Hollywood,41287,22,trap soul
0jUQSUOcM7lxVn5eVGTkzQ,Justine Skye,862580,63,pop r&b;r&b
1PbBg2aYjWLKRk84zJK15x,Echosmith,603807,57,electropop;indie poptimism;viral pop
3sDbKMebVH2VYcRSl7u1VC,for KING & COUNTRY,1300070,65,ccm;christian alternative rock;christian indie;christian music;world worship
4v6XOdonnfpdTKTRJArG7v,Tink,1177697,60,chicago rap;drill;trap queen
63wjoROpeh5f11Qm93UiJ1,Keri Hilson,1998635,69,dance pop;hip pop;r&b;urban contemporary
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,6322338,83,r&b;rap
42FaEHFfyxTdZQ5W28dXnj,Lil Snupe,122761,34,drill
1DcWHZmzu1JT5IYWDDwHDU,Tracy T,20106,29,atl hip hop;atl trap
4lwPGsAG5qnfn1JOtESnYZ,Guordan Banks,38175,37,unknown
5NaNc37mq1wkIE2gIkSmgV,Louie V Gutta,1496,12,deep underground hip hop
6H6svVOQLsIH1uK7KedZoQ,Dame D.O.L.L.A,182790,41,portland hip hop
2PBl174x5RKc6Q5aAECeQs,E MOZZY,42481,37,cali rap;sacramento hip hop
7LvoDJUNGnOrPdGRzVtOJ9,Young M.A,1494455,58,alternative r&b;lgbtq+ hip hop;nyc rap;rap;trap
6kQWPGBItT0oMCHZy3M9DN,RJMrLA,144482,55,cali rap
3XVpDdKav6C6zwlDXPhMEO,Kamaiyah,182408,50,alternative r&b;cali rap;oakland hip hop
6WtTLIl6HLw0JI15Z3Ia8q,Bricc Baby,2975,25,unknown
4Maf38TSoYT83qXqsO20JI,AD,31360,35,west coast trap
2R2C8r0t9p98AnGzUnOLAe,Blanco,5086,34,unknown
0kHp6OZT4pvcCbTMfQCOvE,D-Lo,54552,39,cali rap;hyphy
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,17493270,84,modern alternative rock;modern rock;pop
0b2XeWDPeBiLeskT6RFqMb,DJ Quik,880532,54,g funk;popping;west coast rap
3USpNaxpX1iNqNnQWqg9ob,Mack 10,728269,55,dirty south rap;g funk;gangster rap;west coast rap
5o2e685rYkzKTPXEwR82H3,Vell,2429,18,west coast trap
0uFc6StTmJBvdHPZFDkdJy,Casey Veggies,323019,52,underground hip hop
2Tglaf8nvDzwSQnpSrjLHP,Cuco,2937318,68,bedroom pop;dream pop
3tJoFztHeIJkJWMrx0td2f,Moneybagg Yo,4639618,76,memphis hip hop;rap;southern hip hop;tennessee hip hop;trap
4AA474G2hRfrHyGrfyDseO,Mozzy,808387,62,cali rap;sacramento hip hop
1BhWF9W2PngtPSyobKg0rP,Pia Mia,1948088,56,dance pop;pop;post-teen pop
5Berubt6ysOy2LCMyqhmXP,YFN Lucci,2515020,56,arkansas hip hop;atl hip hop;melodic rap;memphis hip hop;southern hip hop;trap
41klVmDluQZmGGqoidNfbe,Blac Youngsta,1651288,50,memphis hip hop;southern hip hop;trap
29ko7p6q0gVHvzy7B2alol,Will Claye,4286,35,unknown
26AHtbjWKiwYzsoGoUZq53,Pentatonix,3745626,62,a cappella;viral pop
0PA28tQBY65NmvLi0xvuX9,Chip Tha Ripper,49242,44,ohio hip hop
3s8alQfNnY0roAHaJh7Xxt,Dom Kennedy,596988,56,soul flow;underground hip hop
6DVipHzYsPlIoA0DW8Gmns,Royce Da 5'9",785943,56,detroit hip hop;gangster rap;hardcore hip hop;hip hop
6q2peHL8h2vUGvWNbsIjii,Payroll Giovanni,90836,46,detroit trap
4njwwcumLelgJjjlQB4eYl,Key Wane,1191,18,nashville hip hop
3u579Gdap91lMptBSdXTpf,Kash Doll,1317161,48,detroit hip hop;trap queen
6DpWtzfwV8fcwP6fXckDVu,Starrah,22830,47,hyperpop francais
6g8AmloI8egfrr3dm3SnUL,TWENTY88,580257,43,unknown
40giwFcTQtv9ezxW8yqxJU,Chiddy Bang,360790,48,indie pop rap;philly rap;pop rap
0bfX8pF8kuHNCs57Ms4jZb,Roscoe Dash,256453,61,atl hip hop;dirty south rap;futuristic swag;southern hip hop;trap
1grN0519h2zYqpRtYbDZAl,Larry June,412687,67,cali rap
3ApUX1o6oSz321MMECyIYd,Quinn XCII,787748,65,indie pop rap
7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,7451690,70,melodic rap;mississippi hip hop;pop rap;rap;trap
15iVAtD3s3FsQR4w1v6M0P,Chief Keef,5088099,76,chicago bop;chicago drill;chicago rap;drill;hip hop;rap;trap
08Ld63UgKrJ0nZnCkzHtzc,Project Pat,856100,67,crunk;dirty south rap;gangster rap;memphis hip hop;trap
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,11413761,86,atl hip hop;plugg;pluggnb;rage rap;rap
7v9bFXCdSMA2o3gS4nvp0F,Pimp C,926447,50,baton rouge rap;chopped and screwed;crunk;dirty south rap;houston rap
2WoVwexZuODvclzULjPQtm,Sampha,785542,64,alternative r&b;indie soul
6Jrxnp0JgqmeUX1veU591p,Santigold,722402,58,alternative dance;art pop;indietronica;neo-synthpop
6oBm8HB0yfrIc9IHbxs6in,Lykke Li,1870302,69,art pop;electropop;indietronica;neo-synthpop;swedish electropop;swedish indie pop;swedish pop
